epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,26017.2,1.05969,1.1366,0.0217,0.83642,0.7197,0.7935,0.5882,1.13061,0.98795,0.02514,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
82,26338.8,1.06044,1.14212,0.02159,0.80249,0.74213,0.79654,0.59124,1.12982,0.99563,0.02509,0.0295218,0.0098406,0.0295218,0.0098406,0.0295218,0.0098406,0.0295218,0.0098406
83,26658.8,1.06197,1.14287,0.02169,0.78987,0.7506,0.79586,0.59147,1.12972,0.99755,0.0251,0.02951,0.00983666,0.02951,0.00983666,0.02951,0.00983666,0.02951,0.00983666
84,26984.1,1.06059,1.138,0.0217,0.79996,0.74455,0.79422,0.58935,1.12863,0.99178,0.02504,0.029498,0.00983267,0.029498,0.00983267,0.029498,0.00983267,0.029498,0.00983267
85,27298.8,1.05868,1.13474,0.02173,0.81255,0.73577,0.79419,0.59005,1.12777,0.99192,0.02501,0.0294859,0.00982864,0.0294859,0.00982864,0.0294859,0.00982864,0.0294859,0.00982864
86,27615.8,1.05965,1.14281,0.0216,0.81251,0.73503,0.79499,0.59142,1.1271,0.98633,0.025,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
87,27931.3,1.05634,1.12434,0.02158,0.79868,0.74159,0.77994,0.57694,1.12424,0.99136,0.02491,0.0294613,0.00982043,0.0294613,0.00982043,0.0294613,0.00982043,0.0294613,0.00982043
88,28247.8,1.05991,1.13192,0.02169,0.80629,0.73993,0.79438,0.58882,1.12307,0.99438,0.02488,0.0294488,0.00981626,0.0294488,0.00981626,0.0294488,0.00981626,0.0294488,0.00981626
89,28566.2,1.06075,1.12451,0.0216,0.81205,0.73942,0.79459,0.59013,1.12057,0.99594,0.02479,0.0294361,0.00981204,0.0294361,0.00981204,0.0294361,0.00981204,0.0294361,0.00981204
90,28883.5,1.06059,1.13839,0.0216,0.80782,0.74711,0.79446,0.59125,1.11961,0.99675,0.02476,0.0294233,0.00980777,0.0294233,0.00980777,0.0294233,0.00980777,0.0294233,0.00980777
91,29198.7,1.05587,1.12658,0.02153,0.80711,0.74205,0.79469,0.5943,1.11814,0.99669,0.02472,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
92,29516.2,1.05545,1.12434,0.02149,0.80669,0.73847,0.79551,0.59512,1.1165,0.99243,0.02468,0.0293973,0.00979909,0.0293973,0.00979909,0.0293973,0.00979909,0.0293973,0.00979909
93,29831.8,1.05643,1.13489,0.02153,0.79901,0.74109,0.79366,0.59554,1.1187,0.99053,0.02474,0.029384,0.00979468,0.029384,0.00979468,0.029384,0.00979468,0.029384,0.00979468
94,30151.4,1.05593,1.12569,0.02157,0.80607,0.73654,0.79475,0.59548,1.11806,0.99828,0.02472,0.0293707,0.00979023,0.0293707,0.00979023,0.0293707,0.00979023,0.0293707,0.00979023
95,30467.6,1.05794,1.12948,0.02154,0.80646,0.73612,0.79443,0.59292,1.11843,0.99962,0.02473,0.0293572,0.00978572,0.0293572,0.00978572,0.0293572,0.00978572,0.0293572,0.00978572
96,30787.8,1.05662,1.12331,0.02163,0.80267,0.74102,0.79204,0.59069,1.11722,1.01015,0.0247,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
97,31106.6,1.05641,1.11449,0.02156,0.83631,0.72,0.79241,0.59127,1.11804,1.01092,0.02476,0.0293297,0.00977658,0.0293297,0.00977658,0.0293297,0.00977658,0.0293297,0.00977658
98,31424,1.05824,1.12904,0.02148,0.82407,0.72055,0.79224,0.59387,1.11742,1.01264,0.02473,0.0293158,0.00977194,0.0293158,0.00977194,0.0293158,0.00977194,0.0293158,0.00977194
99,31740.7,1.05601,1.12261,0.02144,0.78006,0.76041,0.79388,0.59557,1.11737,1.01242,0.02469,0.0293017,0.00976725,0.0293017,0.00976725,0.0293017,0.00976725,0.0293017,0.00976725
100,32056.3,1.05717,1.11773,0.02152,0.81239,0.73537,0.79274,0.59482,1.11568,1.01239,0.0246,0.0292875,0.00976251,0.0292875,0.00976251,0.0292875,0.00976251,0.0292875,0.00976251
101,32376.8,1.05435,1.12904,0.02148,0.82462,0.72964,0.79459,0.5961,1.11357,1.01823,0.0245,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
102,32695.2,1.05088,1.12456,0.02143,0.79634,0.74767,0.79314,0.59511,1.1129,1.01847,0.02449,0.0292587,0.0097529,0.0292587,0.0097529,0.0292587,0.0097529,0.0292587,0.0097529
103,33012.3,1.05143,1.12381,0.02135,0.80147,0.74602,0.78364,0.58437,1.11309,1.01071,0.02451,0.0292441,0.00974803,0.0292441,0.00974803,0.0292441,0.00974803,0.0292441,0.00974803
104,33326.9,1.05052,1.12198,0.02141,0.78554,0.7534,0.7912,0.59632,1.11422,1.01416,0.02453,0.0292293,0.0097431,0.0292293,0.0097431,0.0292293,0.0097431,0.0292293,0.0097431
105,33640,1.05092,1.12219,0.02139,0.81499,0.73564,0.78963,0.59412,1.11707,1.01557,0.02463,0.0292144,0.00973814,0.0292144,0.00973814,0.0292144,0.00973814,0.0292144,0.00973814
106,33954.3,1.04653,1.11015,0.02132,0.81713,0.7335,0.79049,0.59422,1.1188,1.01901,0.02464,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
107,34268.8,1.04711,1.10062,0.02129,0.81827,0.73518,0.79161,0.59343,1.11903,1.01762,0.02463,0.0291842,0.00972806,0.0291842,0.00972806,0.0291842,0.00972806,0.0291842,0.00972806
108,34582.7,1.05097,1.12333,0.02141,0.8161,0.73554,0.79216,0.594,1.11699,1.01915,0.02456,0.0291689,0.00972296,0.0291689,0.00972296,0.0291689,0.00972296,0.0291689,0.00972296
109,34897.4,1.04988,1.11227,0.0213,0.81793,0.73625,0.79288,0.5951,1.11658,1.02515,0.02451,0.0291534,0.0097178,0.0291534,0.0097178,0.0291534,0.0097178,0.0291534,0.0097178
110,35214.1,1.04736,1.11354,0.02134,0.81007,0.7419,0.79446,0.59702,1.11683,1.02171,0.02454,0.0291378,0.0097126,0.0291378,0.0097126,0.0291378,0.0097126,0.0291378,0.0097126
111,35536.8,1.05565,1.1106,0.02141,0.80469,0.74133,0.79401,0.59597,1.11749,1.02769,0.02457,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
112,35855,1.05312,1.11151,0.0214,0.80811,0.74011,0.79326,0.59566,1.1177,1.02936,0.02459,0.0291062,0.00970207,0.0291062,0.00970207,0.0291062,0.00970207,0.0291062,0.00970207
113,36171.3,1.0546,1.12926,0.02152,0.8044,0.73881,0.79189,0.59459,1.11561,1.03683,0.02453,0.0290902,0.00969673,0.0290902,0.00969673,0.0290902,0.00969673,0.0290902,0.00969673
114,36493.8,1.05336,1.11028,0.02143,0.80543,0.74064,0.79272,0.59456,1.11579,1.04034,0.02452,0.0290741,0.00969135,0.0290741,0.00969135,0.0290741,0.00969135,0.0290741,0.00969135
115,36807.3,1.04956,1.10089,0.02133,0.79474,0.7505,0.79214,0.59117,1.11757,1.04287,0.02457,0.0290578,0.00968592,0.0290578,0.00968592,0.0290578,0.00968592,0.0290578,0.00968592
116,37122.5,1.04537,1.11631,0.0212,0.80832,0.73621,0.79197,0.59103,1.1169,1.04539,0.02457,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
117,37437.7,1.04369,1.10275,0.02114,0.78232,0.7526,0.7904,0.58943,1.11817,1.04844,0.02459,0.0290248,0.00967493,0.0290248,0.00967493,0.0290248,0.00967493,0.0290248,0.00967493
118,37750.6,1.04719,1.10555,0.02132,0.79186,0.74958,0.78886,0.58731,1.11742,1.05305,0.02457,0.0290081,0.00966936,0.0290081,0.00966936,0.0290081,0.00966936,0.0290081,0.00966936
119,38066.9,1.04881,1.12061,0.02133,0.79898,0.7363,0.79003,0.58994,1.11693,1.04972,0.02457,0.0289913,0.00966375,0.0289913,0.00966375,0.0289913,0.00966375,0.0289913,0.00966375
120,38385.3,1.04966,1.10842,0.02137,0.80889,0.7345,0.79065,0.59376,1.11716,1.04525,0.02462,0.0289743,0.0096581,0.0289743,0.0096581,0.0289743,0.0096581,0.0289743,0.0096581
121,38704.6,1.05555,1.11448,0.02142,0.79711,0.74817,0.79056,0.59228,1.11762,1.03662,0.02464,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
122,39019.8,1.04685,1.10624,0.02123,0.78893,0.75173,0.79024,0.59192,1.11675,1.03645,0.02457,0.0289399,0.00964665,0.0289399,0.00964665,0.0289399,0.00964665,0.0289399,0.00964665
123,39336.8,1.04838,1.10845,0.02122,0.81001,0.73976,0.79117,0.59082,1.11331,1.03426,0.02444,0.0289226,0.00964085,0.0289226,0.00964085,0.0289226,0.00964085,0.0289226,0.00964085
